date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Alpha,1.0,1.69,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-01,California,State,Other,29.0,49.15,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Total,59.0,100.0,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Epsilon,28.0,47.46,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Omicron,1.0,1.69,,
2021-01-02,California,State,Omicron,1.0,0.94,,
2021-01-02,California,State,Other,53.0,50.0,,
2021-01-02,California,State,Epsilon,45.0,42.45,,
2021-01-02,California,State,Delta,1.0,0.94,,
2021-01-02,California,State,Total,106.0,100.0,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Alpha,6.0,5.66,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Epsilon,117.0,43.82,,
2021-01-03,California,State,Alpha,5.0,1.87,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Gamma,1.0,0.37,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Delta,2.0,0.75,,
2021-01-03,California,State,Total,267.0,100.0,,
2021-01-03,California,State,Other,140.0,52.43,,
2021-01-03,California,State,Omicron,2.0,0.75,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Epsilon,692.0,54.92,,
2021-01-04,California,State,Total,1260.0,100.0,,
2021-01-04,California,State,Other,558.0,44.29,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Alpha,5.0,0.4,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Total,784.0,100.0,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,2.04,,
2021-01-05,California,State,Other,353.0,45.03,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-05,California,State,Epsilon,415.0,52.93,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Other,154.0,42.54,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Epsilon,200.0,55.25,,
2021-01-06,California,State,Alpha,3.0,0.83,,
2021-01-06,California,State,Total,362.0,100.0,,
2021-01-06,California,State,Omicron,2.0,0.55,,
2021-01-06,California,State,Mu,0.0,0.0,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Delta,3.0,0.83,,
2021-01-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-07,California,State,Delta,0.0,0.0,1.57142857142,0.350765306122
2021-01-07,California,State,Epsilon,154.0,51.68,235.85714285714,52.646683673469
2021-01-07,California,State,Alpha,15.0,5.03,7.28571428571,1.626275510204
2021-01-07,California,State,Gamma,0.0,0.0,0.14285714285,0.031887755102
2021-01-07,California,State,Omicron,2.0,0.67,1.14285714285,0.255102040816
2021-01-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-07,California,State,Total,298.0,100.0,448.0,100.0
2021-01-07,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-07,California,State,Other,127.0,42.62,202.0,45.089285714286
2021-01-08,California,State,Other,65.0,44.22,207.14285714285,44.975186104218
2021-01-08,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-08,California,State,Omicron,0.0,0.0,1.0,0.217121588089
2021-01-08,California,State,Alpha,2.0,1.36,7.42857142857,1.612903225806
2021-01-08,California,State,Gamma,0.0,0.0,0.14285714285,0.031017369727
2021-01-08,California,State,Epsilon,78.0,53.06,243.0,52.760545905707
2021-01-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-08,California,State,Delta,2.0,1.36,1.85714285714,0.403225806452
2021-01-08,California,State,Total,147.0,100.0,460.57142857142,100.0
2021-01-09,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-09,California,State,Total,534.0,100.0,521.71428571428,100.0
2021-01-09,California,State,Other,220.0,41.2,231.0,44.277108433735
2021-01-09,California,State,Gamma,0.0,0.0,0.14285714285,0.027382256298
2021-01-09,California,State,Delta,1.0,0.19,1.85714285714,0.355969331873
2021-01-09,California,State,Omicron,1.0,0.19,1.0,0.191675794085
2021-01-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-09,California,State,Epsilon,306.0,57.3,280.28571428571,53.723986856517
2021-01-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-09,California,State,Alpha,6.0,1.12,7.42857142857,1.423877327492
2021-01-10,California,State,Alpha,0.0,0.0,6.71428571428,1.32581100141
2021-01-10,California,State,Delta,0.0,0.0,1.57142857142,0.310296191819
2021-01-10,California,State,Epsilon,90.0,56.25,276.42857142857,54.583921015515
2021-01-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-10,California,State,Total,160.0,100.0,506.42857142857,100.0
2021-01-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-10,California,State,Other,69.0,43.12,220.85714285714,43.61071932299
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-10,California,State,Omicron,1.0,0.62,0.85714285714,0.169252468265
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Alpha,8.0,1.42,7.14285714285,1.754385964912
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Delta,2.0,0.35,1.14285714285,0.280701754386
2021-01-11,California,State,Omicron,2.0,0.35,1.14285714285,0.280701754386
2021-01-11,California,State,Epsilon,272.0,48.14,216.42857142857,53.157894736842
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.035087719298
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.035087719298
2021-01-11,California,State,Other,279.0,49.38,181.0,44.456140350877
2021-01-11,California,State,Total,565.0,100.0,407.14285714285,100.0
2021-01-12,California,State,Alpha,9.0,1.62,6.14285714285,1.640595192675
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.038153376574
